GEOID,Geography,Population,Median age (years),Nonfamily household,Married-couple family household,Male householder,Female householder,"Car, truck, or van - Mean travel time to work (minutes)",Public transportation - Mean travel time to work (minutes),Drove Alone,Carpooled, Public transportation (excluding taxicab),Bicycle,Walked,Other means,Worked at home,White ,Black or African American ,American Indian and Alaska Native ,Asian,Native Hawaiian and Other Pacific Islander ,Some other race alone, Two or more races,Median household income 
27003050107,"Census Tract 501.07, Anoka County, Minnesota",2875,34.2,314,541,34,138,N,N,1336,105,11,0,8,0,81,2814,20,0,0,0,2,39,70938
27003050108,"Census Tract 501.08, Anoka County, Minnesota",4823,32.5,394,978,108,245,N,N,2379,370,15,0,5,0,133,4509,7,0,109,0,25,173,62973
27003050109,"Census Tract 501.09, Anoka County, Minnesota",5070,40.3,283,1288,116,71,38.6,65.9,2680,217,39,0,0,0,92,4988,0,18,10,0,0,54,90435
27003050110,"Census Tract 501.10, Anoka County, Minnesota",2796,39.6,237,595,36,106,N,N,1484,272,12,0,7,8,84,2755,0,0,25,0,0,16,88264
27003050111,"Census Tract 501.11, Anoka County, Minnesota",3748,40.9,341,875,69,75,N,N,1833,185,11,0,9,0,91,3666,0,0,0,0,0,82,82500
27003050114,"Census Tract 501.14, Anoka County, Minnesota",2742,43.3,248,714,5,19,N,N,1317,89,15,0,13,0,77,2666,42,0,0,0,7,27,79423
27003050115,"Census Tract 501.15, Anoka County, Minnesota",5403,37.9,275,1304,20,82,N,N,2605,173,10,0,20,0,212,4574,70,0,296,0,391,72,90799
27003050116,"Census Tract 501.16, Anoka County, Minnesota",4493,40.7,388,1053,21,67,N,N,2196,170,1,0,98,24,78,4239,22,52,45,0,128,7,80865
27003050208,"Census Tract 502.08, Anoka County, Minnesota",3279,35.4,279,709,54,89,N,N,1595,117,41,0,19,20,129,3097,3,0,46,0,18,115,81343
27003050210,"Census Tract 502.10, Anoka County, Minnesota",3940,45.9,312,1120,34,44,N,N,1997,132,37,0,15,0,132,3908,0,0,20,0,12,0,79519
